Month,Air RPM (000s),Rail PM,VMT (billions)
01/01/1990,35153577,454115779,163.275383526935
01/02/1990,32965187,435086002,153.254408768442
01/03/1990,39993913,568289732,178.417577159224
01/04/1990,37981886,568101697,178.68068563855
01/05/1990,38419672,539628385,188.876170780755
01/06/1990,42819023,570694457,189.159078008945
01/07/1990,45770315,618571581,195.090029789404
01/08/1990,48763670,609210368,196.674157670043
01/09/1990,38173223,488444939,178.065364212939
01/10/1990,39051877,514253920,182.274619592719
01/11/1990,35699216,516429873,171.225987744395
01/12/1990,37444088,531619395,168.2875337122
01/01/1991,34848290,496467387,157.876834362409
01/02/1991,29672427,469504489,153.339406663768
01/03/1991,36202993,587905914,179.062119687786
01/04/1991,37146602,509488334,179.524665005006
01/05/1991,38869421,566342448,191.914709032999
01/06/1991,42199760,603845247,193.451849074412
01/07/1991,45384965,633450001,198.371199124961
01/08/1991,48164550,664013874,204.046922082438
01/09/1991,38481957,494557648,183.579670410993
01/10/1991,39062110,509037626,188.430569997533
01/11/1991,34688141,472359118,169.679970920233
01/12/1991,38575165,550795984,172.769097074535
01/01/1992,35265807,493541137,167.886
01/02/1992,33868884,462084011,160.425
01/03/1992,39724539,559205172,184.03
01/04/1992,37294373,572122965,186.32
01/05/1992,39728367,546043825,196.985
01/06/1992,45754460,478204759,197.49
01/07/1992,50807813,610774196,206.882
01/08/1992,53219046,627359211,205.016
01/09/1992,41564915,516516158,191.159
01/10/1992,40578092,538313763,195.095
01/11/1992,36863415,539769246,177.618
01/12/1992,39045016,551397116,181.245
01/01/1993,37911556,500349189,171.655
01/02/1993,34902869,461280157,162.82
01/03/1993,42058882,534476186,187.842
01/04/1993,40814097,562429065,188.709
01/05/1993,42133943,554039017,205.952
01/06/1993,44679864,580500717,199.386
01/07/1993,48622037,586861727,209.809
01/08/1993,50451675,611839976,209.603
01/09/1993,41677832,501353952,193.737
01/10/1993,43264475,507702230,197.764
01/11/1993,38868799,489299178,182.296
01/12/1993,40610043,503041903,186.802
01/01/1994,38863562,472917856,169.314
01/02/1994,36068535,463567851,166.445
01/03/1994,45433842,572167273,196.189
01/04/1994,42418163,546898075,195.408
01/05/1994,44297210,524008197,206.595
01/06/1994,48169096,531971149,207.281
